Date,Bitly,Source,Tags,Clicks
4/18/22,bit.ly/togetherDTM,https://t.co/,HPO Target Market,2
4/18/22,bit.ly/togetherDTM,direct,HPO Target Market,1
4/19/22,bit.ly/togetherDTM,https://t.co/,HPO Target Market,4
4/19/22,bit.ly/togetherDTM,direct,HPO Target Market,1
4/29/22,bit.ly/togetherDTM,direct,HPO Target Market,1
5/6/22,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
5/10/22,bit.ly/togetherDTM,direct,HPO Target Market,1
5/11/22,bit.ly/togetherDTM,direct,HPO Target Market,1
4/1/22,bit.ly/togetherNY,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherNY,http://partners.bit.ly/qr,HPO Target Market,1
4/25/22,bit.ly/togetherNY,direct,HPO Target Market,1
5/9/22,bit.ly/togetherNY,direct,HPO Target Market,2
5/10/22,bit.ly/togetherNY,direct,HPO Target Market,1
4/1/22,bit.ly/togetherWI,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherWI,http://partners.bit.ly/qr,HPO Target Market,1
5/10/22,bit.ly/togetherWI,direct,HPO Target Market,1
4/12/22,bit.ly/juntosATL,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/juntosATL,http://partners.bit.ly/qr,HPO Target Market,1
4/12/22,bit.ly/juntosBOS,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/juntosBOS,http://partners.bit.ly/qr,HPO Target Market,1
5/23/22,bit.ly/juntosBOS,direct,HPO Target Market,2
4/12/22,bit.ly/juntosCHI,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/juntosCHI,http://partners.bit.ly/qr,HPO Target Market,1
4/12/22,bit.ly/juntosDTX,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/juntosDTX,http://partners.bit.ly/qr,HPO Target Market,1
4/12/22,bit.ly/juntosDTM,http://partners.bit.ly/qr,HPO Target Market / Detroit,1
5/6/22,bit.ly/juntosDTM,direct,HPO Target Market / Detroit,3
5/6/22,bit.ly/juntosDTM,http://partners.bit.ly/qr,HPO Target Market / Detroit,1
4/12/22,bit.ly/juntosMIA,http://partners.bit.ly/qr,HPO Target Market,1
4/26/22,bit.ly/juntosMIA,direct,HPO Target Market,1
5/6/22,bit.ly/juntosMIA,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/juntosNY,http://partners.bit.ly/qr,HPO Target Market,1
4/12/22,bit.ly/juntosNY,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/juntosNY,http://partners.bit.ly/qr,HPO Target Market,1
5/9/22,bit.ly/juntosNY,direct,HPO Target Market,2
