date,bitly,source,tags,clicks
2022-04-23,bit.ly/togetherDMV,direct,DV Target Markets,14
2022-04-23,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-24,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-04-24,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-25,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-26,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-26,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-04-27,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-04-28,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-04-29,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-04-29,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-04-30,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-05-01,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-01,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-02,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-02,bit.ly/togetherDMV,direct,DV Target Markets,1
2022-05-03,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
2022-05-03,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-05-04,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-05,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-05,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-06,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-05-06,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
2022-05-07,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-09,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-09,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
2022-05-10,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-12,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-13,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-15,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-16,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
2022-05-16,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,2
2022-05-17,bit.ly/togetherDMV,direct,DV Target Markets,2
2022-05-17,bit.ly/togetherDMV,https://nphchq.com/millennium1/,DV Target Markets,1
2022-05-17,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-06-14,bit.ly/LA-NOCOA,direct,LA_PMT,1.0
2022-05-18,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
2022-05-19,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-20,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-24,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
2022-05-26,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
2022-05-09,bit.ly/PMT_DREF,direct,pmt / NY_PMT,2
2022-04-01,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-12,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/togetherBOS,direct,HPO Target Market,2
2022-05-06,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-23,bit.ly/togetherBOS,direct,HPO Target Market,1
2022-05-25,bit.ly/togetherBOS,direct,HPO Target Market,1
2022-04-01,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-12,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-26,bit.ly/togetherMIA,direct,HPO Target Market,1
2022-05-06,bit.ly/togetherMIA,direct,HPO Target Market,2
2022-05-06,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-16,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-19,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-19,bit.ly/togetherATL,direct,"",1
2022-04-20,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",4
2022-04-20,bit.ly/togetherATL,https://www.google.com/,"",1
2022-04-21,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",7
2022-04-21,bit.ly/togetherATL,https://www.rootedinresilience.co/atlanta-ga,"",1
2022-04-21,bit.ly/togetherATL,direct,"",1
2022-04-22,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",3
2022-04-22,bit.ly/togetherATL,direct,"",2
2022-04-22,bit.ly/togetherATL,https://www.google.com/,"",1
